id,keywords
41,"유조차 관리, GPS 위치추적, 해치 감시, 밸브 제어, 운송 안전"
42,"보안요소(SE), 모바일 단말, 네트워크 제어, 사용자 인증, 접근 권한"
43,"시설 이용 허가, 사용자 인증, 인증 정보, 출입 제어, 권한 확인"
44,"보안요소(SE), 인증정보 관리, 모바일 단말, 보안 저장, 사용자 인증"
45,"무선기기 측위, 위치 추정, 신호 세기, 기준 장치, 위치 정보"
46,"증강현실, 콘텐츠 제공, 촬영 영상, 객체 인식, 전자장치"
47,"포인터 이동, 그래픽 버튼, 사용자 인터페이스, 제스처 입력, 전자장치"
48,"정보 주소 관리, 네트워크 주소, 주소 생성, 주소 갱신, 네트워크 자원"
49,"음성인식, 발음 평가, 음성 특징, 학습 피드백, 전자기기"
50,"복합 장애 조건, 시스템 장애, 장애 모니터링, 프로세스 정보, 관리자 알림"
51,"전자 봉인, 시설물 개폐, 리더 태그, 거리 변화, 개폐 모니터링"
52,"전자 봉인, 태그 리더, 봉인 감지, 스위치 제어, 시설 보안"
53,"정규 표현식, 작업 스케줄링, 전자기기, 조건 매칭, 작업 실행"
54,"에너지 저장장치, 충방전 전력변환, DC 링크, 정전류 제어, 전력 제어"
55,"멀티 인증, 통신채널, 멀티 디바이스, 난수 인증, 보안 인증"
56,"GUI 전환, 회전 애니메이션, 애니메이션 갭, 화면 전환, 전자기기"
57,"데이터 시트, GUI 검색, 정렬, 데이터 검색, 전자기기"
58,"모바일 보안, 관리 권한, 난수 인증, 암호화, 권한 획득"
59,"인지형 소셜 네트워크, 소셜 신뢰 지도, 상호작용 분석, 관계 추천, 사용자 네트워크"
60,"신변 보호, 위치 기반 서비스, 시간 기반 조건, 모바일 기기, 보호자 알림"
61,"게이트웨이 검색, 무선 검색, 인터넷 연결, 검색어 전달, 네트워크 게이트웨이"
62,"분산처리, 카메라 영상, 영상 저장, 위치 정보, 서비스 제어"
63,"상품 서비스 커뮤니케이션, 접속자 메시지, 상품 정보, 실시간 소통, 서비스 상담"
64,"전력 관리, 소비전력 예측, 부하 제어, 전력 절감, 에너지 관리"
65,"라우팅 테이블, 어드레스 범위 통합, 네트워크 장치, 주소 범위, 경로 설정"
66,"멀티미디어 콘텐츠, 공간 배치, 모바일 화면, 콘텐츠 배열, 사용자 인터페이스"
67,"서버 랙 냉각, 서버실 공조, 냉기 유도, 열기 배출, 냉각 보조"
68,"항온항습, 실외기, 냉매 순환, 서버실 냉각, 공조 시스템"
69,"인터랙티브 이미지, 전화 연결, 수신자 화면, 모바일 통화, GUI 제공"
70,"전력 관리, 신재생에너지, 에너지 저장, 전력 수요, 에너지 제어"
71,"배터리 관리, 계층 구조, 서브 BMS, 통신 부하, 셀 밸런싱"
72,"배터리 관리, 브로드캐스팅, 시분할 통신, 마스터 슬레이브, 배터리 데이터"
73,"배터리 관리, 단일 보드, 마스터부, 슬레이브부, 셀 밸런싱"
74,"산업단지 클라우드, 클라우드 서비스, 참조 모델, 분석 DB, 서비스 서버"
75,"배터리 관리, 배터리 플로우, 충방전 제어, 상태 모니터링, 에너지 저장"
76,"절연 저항, 배터리 측정, 누설 전류, 안전 진단, 측정 장치"
77,"메시지 서비스, 신뢰성 보장, 메시지 재전송, 전송 상태, 메시지 큐"
78,"하이브리드 모바일 게임, 온라인 오프라인, 게임 모드, 모바일 앱, 서비스 연동"
79,"워터마킹, 이미지 워터마크, 이미지 삽입, 저작권 보호, 디지털 콘텐츠"
80,"직무발명, 지적 자산화, 신고 관리, 사내 지식, 발명 보상"
81,"모바일 기기, 미사용 시간, 사용자 모니터링, 이상 상태 감지, 보호 알림"
82,"배송 계획, 도로 상황, 과거 이동 정보, 최적 경로, 배송지 수정"
83,"복합 상황 판단, 이벤트 시간 흐름, 장비 이벤트, 상황 규칙, 이벤트 감지"
84,"모바일 비콘, 위치 추적, 위치 산출, 경로 파악, 애플리케이션"
85,"모바일 원격제어, 온라인 교육, 온라인 회의, 화면 공유, 영상 협업"
86,"모바일 단말 판매, 원격 체험, 단말 원격제어, 구매 요청, 온라인 판매"
87,"로밍 서비스 테스트, 모바일 원격제어, 통신사 테스트, 이벤트 테스트, 단말 조작"
88,"엔터프라이즈 모니터링, 서비스 레벨, 통합 모니터링, 업무 서비스, 리소스 상태"
89,"임계값 자동 설정, 시스템 모니터링, 정상값 학습, 장애 감지, 모니터링 시스템"
90,"온라인 고객 상담, 모바일 원격제어, 상담 지원, 화면 공유, 고객 응대"
91,"얼굴 인식, 얼굴 모션 패턴, 개인 인증, 생체 인증, 위조 방지"
92,"증강현실 HMD, 독서 보조, 학습 보조, 시선 추적, 콘텐츠 표시"
93,"IT 서비스 건전성, 자동 진단, 운영 지표, 구조 개선, 서비스 분석"
94,"공수 추정, IT 구축 사업, 작업 범위, 추정 모델, 사업 관리"
95,"이동통신 데이터, 마케팅 지원, 고객 정보, 제휴사, 요금 할인"
96,"온라인 신분증 확인, 안면 인증, 음성 인증, 생체정보 등록, 본인 확인"
97,"리스크 관리, IT 구축 사업, 정량화, 불확실성, 위험 평가"
98,"AB 테스팅, 서비스 노출율, 실험군 관리, 사용자 반응, 서비스 최적화"
99,"목소리 특징, 본인 인증, 인증 대행, 음성 등록, 해킹 방지"
100,"웹 브라우저, 그리드 렌더링, 셀 독립 렌더링, 스크롤 바, 대용량 데이터"
101,"계측-수율 상관성, 수율 예측, 계측 데이터, 예측 함수, 반도체 공정"
102,"공정/장비 계측 데이터, 미세 변동 감지, 통계 분포, 신뢰구간, 품질 관리"
103,"반도체 결함 시각화, 결함 위치, 분포 패턴, 다중 임계값, 결함 이미지"
104,"가상 반도체 제조물, 반도체 제조 데이터, 가상 복제, 결함 검사, 수율 예측"
105,"장비신뢰지수, Lot 리스크 스코어, 동적 계측, 반도체 제조, 계측 제어"
106,"블록체인 one ID, 인증 지원 서버, SP 서버, 통합 로그인, 사이트 매핑"
107,"IoT 앱 테스트, 모바일 원격제어, 외부 단말 조작, 테스트 자동화, 결과 화면"
108,"스마트 팩토리 레이아웃, 자동 설계, 블록 생성, 라인 생성, 배치 알고리즘"
109,"레이아웃 효율성, 스마트 팩토리, 효율 지표, 객관 평가, 배치 평가"
110,"프로그램 다운로드, 사용자 ID, 로그인 일자, 설치 계획, 동시 설치"
111,"가스 감지기, 센서 검정, 센서값 측정, 보정 기준, 감지 정확도"
112,"정보 검색, 키워드 관계 정보, 검색 질의, 관계 기반 검색, 검색 결과"
113,"설명 가능한 인공지능, 모델링, 시뮬레이션, 이미지 변환, 워크플로우 모델"
114,"대화형 홈쇼핑, 인공지능 전화 주문, STT 음성인식, 상담 자동화, 주문 처리"
115,"블록체인 상품권, 코인 기반 결제, 상품권 발행, 거래 관리, 블록체인 서비스"
116,"데이터 수집 전송, 함체 패키지, 센서 수집, 통신 모듈, 안테나"
117,"AR 비계 검증, 증강현실, 건설 현장, 클라우드 검증, 비계 안전"
118,"안전관리, 이미지 학습 모델, 산업 현장, 객체 탐지, 안전보건환경"
119,"문서 요약, 딥러닝, 전처리, 유사 문서, 요약 생성"
120,"블록체인 스마트 계약, 사용자 키 관리, 콘텐츠 키, 투명성, 키 보안"
121,"블록체인 콘텐츠 거래, 콘텐츠 암호키, 디지털 콘텐츠, 전자서명, 거래 검증"
122,"모바일 서비스 관제, 원격제어 기술, 대시보드, 이상징후, iOS·Android"
123,"질병 인자 추출, 문서 데이터, 관계 추출, 지식 그래프, 질병·유전자"
124,"가명정보 유통, 블록체인, 수익분배, 데이터 거래, 역추적"
125,"챗봇 시나리오, 자연어 처리 엔진, 인텐트, 엔티티, 답변 생성"
126,"한글 숫자 표현, 숫자 추출, 토큰화, 품사 판별, 자연어 처리"
127,"AI 모델 서빙, 모델 등록, 모델 배포, 모델 검색, 서빙 인프라"
128,"오디오북 제작, 보이스 스타일 분석, 품질 자동 검수, 참여자 메타정보, 낭독 품질"
129,"AI 모델 운영, 단일 엔드포인트, API 관리, 모델 라우팅, 포드 운영"
130,"모델 서버 스케일링, AI 모델 운영, 포드 관리, 부하 대응, 서빙 확장"
131,"이동식 3D 마커, 증강현실 정합, 현장 검측, 촬영모듈, 표시모듈"
132,"이동경로 분석, 통신데이터 추출, 위치 데이터, 이동 패턴, 정보추출"
133,"태양광 발전, 수소연료전지, 하이브리드 발전, 발전 제어, 시뮬레이션"
134,"주식 시장 예측, 비정형 데이터, 뉴스 분석, 가중치 산출, 예측 모델"
135,"금융시장 예측, 예측 근거, 인공지능 모델, 시각화, 설명 가능성"
136,"시장 이벤트 추출, 경제 뉴스, 주가 지수, 이벤트 분석, 예측 설명"
137,"금융시장 예측정보, 인공지능 모델, 예측 시각화, 투자 지표, 시장 분석"
138,"금융시장 데이터, 이상치 제거, 데이터 복원, 이벤트 정보, 예측 정확도"
139,"금융시장 데이터 예측, 인공지능 모델, 학습 데이터, 예측 분석, 시장 지표"
140,"네트워크 이중화, 전자 패치, 통신 모듈, 제어 모듈, 장애 대응"
141,"ESG 경영관리, 플랫폼 운영, ESG 지표, 가중치 평가, 경영 성과"
142,"반도체 소재, 후보물질, 물성예측, 무기 물질, 소재 개발"
143,"문서 양식 변환, 웹폼 생성, 업무 절차, 워크플로우, 문서 자동화"
144,"웹 문서 생성, 드래그 앤 드롭, 데이터 추출, 웹 편집, 문서 편집"
145,"업무 프로세스, 웹 문서 매칭, 워크플로우 관리, 맞춤형 프로세스, 작업 절차"
146,"문서 이미지, 양식 추출, 위치 식별, 크기 식별, 웹 문서 변환"
147,"오디오북 오류 검출, STT 엔진, NLP, 낭독 오류, 자동 검수"
148,"안전 점수, 근로자 정보, 블록체인 이력, 자격증 관리, 건강검진"
149,"근로자 구인공고, 안전 점수, 블록체인 이력, 자격증 검증, 근무 평가"
150,"위험성 평가 회의, 작업 허가, 안전관리, 작업 현장, 절차 관리"
151,"안전점검, 현장 근로자 참여, 시정조치, 점검 결과, 안전관리"
152,"작업 현장, 구조 요청, SOS 알람, 대피 안내, 사고 이벤트"
153,"NF3 가스, 정비 자동화, CELL Body, 다관절 로봇, 무인반송차량"
154,"NF3 가스, 이물질 제거, CELL Body 세척, 자동문 제어, 니켈 배출"
155,"독성 물질 운송, 무인반송차량, NF3 생산시설, 전용 용기, 진동 측정"
156,"메시지 지향 미들웨어, 토폴로지 모니터링, 병목 구간, 트랜잭션 정보, 시스템 상태"
157,"메시지 지향 미들웨어, 전송 실패 메시지, 이력 추적, 사후 재전송, 메시지 라우팅"
158,"블록체인 서비스, 스마트 컨트랙트, Deploy Manager, 컨트랙트 배포, 트랜잭션 처리"
159,"설비 제어 프로그램, 시나리오 배포, EAP 서비스, 배포 관리, 서비스 단위"
160,"설비 제어 프로그램, 캐시 메모리, 메시지 처리, EAP, 처리 규칙"
161,"반려동물 사진 분류, 이미지 태깅, 펫 케어 예약, 보호자 정보, 객체 감지"
162,"CMP Pad, 레이저 마킹, 스테이지부, 집진 유닛, 제품 식별"
163,"CMP Pad, 자동 건조, 웨이퍼 카세트, AGV 이송, 건조 설비"
164,"CMP Pad, 자동 적재, 시편 커팅, 에이징, 무인반송차량"
165,"CMP Pad, 물류 관리, RTD, MCS, 이송 경로"
166,"무인운반차, 얼라인 시스템, 변위 센서, QR 코드, 비전 카메라"
167,"블록체인 합의, 서명 검증, 밸리데이터 노드, 트랜잭션, 검증 요청"
168,"자산배분, 강화학습, 액터-크리틱, 상품 트렌드, 투자 전략"
169,"가상 반도체 제품, 반도체 제조 데이터, 실시간 복제, 결함 검출, 수율 예측"
170,"사진 액자 내비게이션, 주행 안내, 조합 모드, 이미지 표시, 지도 데이터"
171,"복합 상황 결정, 사건 시간 흐름, 장치 이벤트, 상황 규칙, 사건 감지"
172,"가상 반도체 제품, 제조 데이터, 실시간 복제, 가상 검사, 결함 검출"
173,"미세 변화 감지, 공정 계측 데이터, 통계 분포, 목표 범위, 품질 관리"
174,"반도체 수율 예측, 머신러닝, 신경망 모델, 데이터 유형 분류, 제조 공정"
175,"장비 신뢰성 지수, 동적 로트 측정, 위험 점수, 반도체 품질관리, 측정 여부"
176,"블록체인 원아이디, 인증 지원 서버, SP 서버, 사이트 매핑, 통합 로그인"
177,"질병 인자 연관성, 문서 데이터, 관계 추출, 지식 그래프, 유전자·단백질"
178,"상자 기능 내비게이션, 주행 안내, 상자 이미지, 조합 모드, 지도 데이터"
179,"미세 변화 감지, 공정/장비 데이터, 통계 분포, 목표 범위, 품질 모니터링"
180,"측정 제어, 장비 신뢰성 지수, 위험 점수, 반도체 제조, 측정 여부"
181,"설명 가능한 AI, 모델링, 시뮬레이션, 워크플로우 모델, 이미지 변환"
182,"장비 신뢰 지수, 로트 위험 점수, 동적 계측 제어, FDC 인터록, 반도체 제조"
183,"계측 데이터 변동, 미세 변동 검지, 통계 분포, 신뢰구간, 제조 공정"
184,"질병 인자 연관성, 문서 데이터, 인공신경망, 관계 추출, 지식 그래프"
185,"교차로 안내, 내비게이션, 주행 경로, 남은 교차로 수, 회전 기호"
